"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-08","2011-10-25",1253,"LA PLATA Nº 13","Buenos Aires","Importado","2011","","CAMION C/C CEREALERA","J33","DFM","170","DUOLICA 1063CJ10","1","Privado","Física","LA PLATA","BUENOS AIRES","No identificado","1964","BOLIVIA",100,"06","BOL"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-08","1999-10-06",1249,"BERISSO Nº 1","Buenos Aires","Nacional","1999","","CH.CABINA 3550","29","MERCEDES BENZ","95","SPRINTER310D/CH3550","1","Privado","Física","BERISSO","BUENOS AIRES","Femenino","1937","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-03","1987-06-05",8022,"CONCEPCION DEL URUGUAY Nº 2","Entre Ríos","Nacional","1987","","ACOPLADO PLAYO","01","PRATI-FRUEHAUF","17","RBB C1 F2 HD 8.6OM","1","Privado","Jurídica","CONCEPCION DEL URUGUAY","ENTRE RIOS","No aplica","2008","No aplica",100,"30",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","1986-03-25",21002,"CAÑADA DE GOMEZ Nº 1","Santa Fe","Nacional","1986","","BERLINA 5 PTAS","37","RENAULT","19","RENAULT 11 TL","1","Privado","Física","CAÑADA DE GOMEZ IRIONDO","SANTA FE","No identificado","1987","ARGENTINA",100,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-20","2009-08-07",4058,"EMBALSE","Córdoba","Nacional","2009","","SEMIRREMOLQUE BATEA","AS","PETINARI","30","SEM B 3 (1+2) E","1","Privado","Física","BERROTARAN","CORDOBA","Masculino","1942","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-30","2010-10-29",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KF","PARTNER PRESENCE PLC 1.6 HDI","1","Privado","Física","TEMPERLEY*LOMAS DE ZAMORA","BUENOS AIRES","No identificado","1969","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-23","1997-10-01",8021,"CONCORDIA Nº 2","Entre Ríos","Nacional","1997","","CHASIS C/CABINA P/CAMION","29","MERCEDES BENZ","63","BM386 VERSION 1620 / 1997","1","Privado","Física","CONCORDIA","ENTRE RIOS","Masculino","1968","ARGENTINA",100,"30","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-22","1998-01-23",8028,"CONCEPCION DEL URUGUAY Nº 3","Entre Ríos","Nacional","1998","","COMBI 3550","29","MERCEDES BENZ","93","SPRINTER 310D/C3550","1","Privado","Física","C. DEL URUGUAY","ENTRE RIOS","Masculino","1978","ARGENTINA",100,"30","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-31","2000-07-05",16012,"GENERAL ROCA Nº 2","Río Negro","Nacional","2000","","FURGON 3000","29","MERCEDES BENZ","AB","SPRINTER 312D/F 3000","1","Privado","Física","GENERAL ROCA","RIO NEGRO","No identificado","1978","ARGENTINA",100,"62","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-31","1999-09-29",16010,"MAQUINCHAO","Río Negro","Nacional","1999","","FURGON 3550","29","MERCEDES BENZ","91","SPRINTER310D/F3550","1","Privado","Física","LOS MENUCOS","RIO NEGRO","Masculino","1986","ARGENTINA",100,"62","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-09","2011-03-29",5011,"CORRIENTES Nº 2","Corrientes","Protocolo 21","2011","","OMNIBUS","092","MERCEDES BENZ","168","OF-1418","2","Público","Jurídica","CORRIENTES","CORRIENTES","No aplica","2001","No aplica",100,"18",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-21","2007-07-13",16009,"VILLA REGINA","Río Negro","Protocolo 21","2007","","OMNIBUS","092","MERCEDES BENZ","835","OF-1418","1","Privado","Física","VILLA REGINA","RIO NEGRO","Femenino","1970","ARGENTINA",100,"62","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","1990-07-23",16012,"GENERAL ROCA Nº 2","Río Negro","Nacional","1990","","COUPE 2 PUERTAS","37","RENAULT","52","FUEGO GTA","1","Privado","Física","GENERAL ROCA","RIO NEGRO","Femenino","1980","ARGENTINA",100,"62","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","1996-01-24",21002,"CAÑADA DE GOMEZ Nº 1","Santa Fe","Nacional","1996","","BERLINA","37","RENAULT","AP","R21 RN SEDAN M2100 DIESEL","1","Privado","Física","CAÑADA DE GOMEZ IRIONDO","SANTA FE","No identificado","1967","No identificado",100,"82",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","2009-08-07",4058,"EMBALSE","Córdoba","Nacional","2009","","SEMIRREMOLQUE BATEA","AS","PETINARI","30","SEM B 3 (1+2) E","1","Privado","Física","BERROTARAN","CORDOBA","Masculino","1942","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-06","2009-08-07",4058,"EMBALSE","Córdoba","Nacional","2009","","SEMIRREMOLQUE BATEA","AS","PETINARI","30","SEM B 3 (1+2) E","1","Privado","Física","BERROTARAN","CORDOBA","Masculino","1942","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-13","2011-11-22",21036,"VILLA CAÑAS","Santa Fe","Nacional","2011","","SEMIRREMOLQUE BARAND","03","MONTENEGRO","53","SBVE","1","Privado","Jurídica","VILLA CAÑAS","SANTA FE","No aplica","1994","No aplica",100,"82",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-10","1993-10-18",8021,"CONCORDIA Nº 2","Entre Ríos","Nacional","1993","","ACOPLADO FURGON TERMICO","19","SOLA Y BRUSA SA","36","20-25 / 1993","1","Privado","Jurídica","CONCORDIA","ENTRE RIOS","No aplica","2014","No aplica",100,"30",""
